Source,Target,Weight
BOXL,ABBV,120
OSTK,ABBV,28
TWTR,ABBV,1511
ON,ABBV,77
MA,ABBV,868
LULU,ABBV,47
TWLO,ABBV,84
ADBE,ABBV,259
HOOD,ABBV,142
LMND,ABBV,37
X,ABBV,213
OCGN,ABBV,35
GILD,ABBV,1462
MMM,ABBV,1548
AMC,ABBV,458
RIOT,ABBV,39
UNH,ABBV,1322
AAPL,ABBV,7468
JNJ,ABBV,6391
HAL,ABBV,58
PINS,ABBV,1342
UAL,ABBV,450
SOLO,ABBV,133
FUBO,ABBV,8
VXRT,ABBV,8
BRK,ABBV,2701
BBIG,ABBV,551
FSR,ABBV,10
LCID,ABBV,621
XOM,ABBV,5486
HYMC,ABBV,22
CHWY,ABBV,53
ABNB,ABBV,193
CEI,ABBV,53
ZM,ABBV,61
GM,ABBV,2118
DGLY,ABBV,193
NOVN,ABBV,271
WMT,ABBV,1498
BIOC,ABBV,2
PYPL,ABBV,2293
BA,ABBV,3590
CMCSA,ABBV,2051
C,ABBV,2162
CLF,ABBV,112
COST,ABBV,3145
VZ,ABBV,1528
AYRO,ABBV,1
UPST,ABBV,99
TNXP,ABBV,174
UPS,ABBV,2874
T,ABBV,759
OXY,ABBV,610
CEMI,ABBV,30
MU,ABBV,1129
GNUS,ABBV,201
STEM,ABBV,16
NBY,ABBV,11
BIOL,ABBV,3
A,ABBV,435
WISH,ABBV,7
NOW,ABBV,67
TSLA,ABBV,3609
NVAX,ABBV,161
AMGN,ABBV,2807
PEP,ABBV,4868
ESE,ABBV,162
TDOC,ABBV,196
FDX,ABBV,100
DKNG,ABBV,66
DOCU,ABBV,127
ATER,ABBV,67
DAL,ABBV,679
DDOG,ABBV,83
DOW,ABBV,295
EBAY,ABBV,335
JBLU,ABBV,165
PENN,ABBV,772
PHUN,ABBV,72
RBLX,ABBV,127
NFLX,ABBV,2662
TXN,ABBV,805
ORCL,ABBV,2963
PTON,ABBV,95
KSS,ABBV,29
BYND,ABBV,208
MSFT,ABBV,6233
DYNT,ABBV,1
DIS,ABBV,2714
AMD,ABBV,2149
IBM,ABBV,2037
