Source,Target,Weight
NFLX,GM,836
MRK,GM,469
TWTR,GM,2318
WMT,GM,709
MU,GM,588
QCOM,GM,306
TSLA,GOOGL,38670
GM,GOOGL,3985
NFLX,GOOGL,35206
MRK,GOOGL,1500
VZ,GOOGL,2158
WMT,GOOGL,3204
CSCO,GOOGL,1932
JPM,GOOGL,5058
PEP,GOOGL,2555
NVDA,GOOGL,22701
QCOM,GOOGL,2061
PFE,GOOGL,1596
CAT,GOOGL,1922
KO,GOOGL,4462
IBM,GOOGL,8187
V,GOOGL,2403
HD,GOOGL,1666
AMZN,GOOGL,81266
SNAP,GOOGL,16310
SBUX,GOOGL,3018
DIS,GOOGL,4342
MSFT,GOOGL,36762
BMY,GOOGL,467
PCLN,GOOGL,4527
XOM,GOOGL,2161
AAPL,GOOGL,83173
BA,GOOGL,2676
WFC,GOOGL,1757
GE,GOOGL,3558
JNJ,GOOGL,3370
MS,GOOGL,602
INTC,GOOGL,11299
GS,GOOGL,15785
M,GOOGL,664
SRPT,GOOGL,6142
MU,GOOGL,2452
BAC,GOOGL,6035
MCD,GOOGL,2483
C,GOOGL,3683
T,GOOGL,6418
TGT,GOOGL,1295
AMD,GOOGL,5448
X,GOOGL,1498
TWTR,GOOGL,19259
F,GOOGL,4511
GILD,GOOGL,3572
FB,GOOGL,79103
AMGN,GOOGL,6880
CMG,GOOGL,4135
X,GS,449
T,GS,533
NVDA,GS,10144
AMGN,GS,3361
JPM,GS,14388
WMT,GS,1433
HD,GS,990
JNJ,GS,2627
INTC,GS,1257
PCLN,GS,1271
F,GS,810
FB,GS,17268
GM,GS,927
GOOGL,GS,14860
WFC,GS,5125
TSLA,GS,14218
AMD,GS,2812
MS,GS,7829
CSCO,GS,1370
PFE,GS,1627
KO,GS,435
TGT,GS,557
SNAP,GS,3828
AMZN,GS,11831
TWTR,GS,3675
VZ,GS,1580
CAT,GS,1537
QCOM,GS,1075
GILD,GS,1923
MU,GS,1414
NFLX,GS,13129
MSFT,GS,2956
IBM,GS,3492
MRK,GS,1631
M,GS,329
CMG,GS,1256
MCD,GS,923
C,GS,10865
SRPT,GS,3274
SBUX,GS,375
DIS,GS,1372
GE,GS,2601
BAC,GS,15025
AAPL,GS,16318
V,GS,1608
BMY,GS,1293
BA,GS,1853
XOM,GS,1464
PEP,GS,135
X,HD,152
AMZN,HD,3323
KO,HD,1320
CAT,HD,867
V,HD,941
IBM,HD,1248
C,HD,448
TWTR,HD,900
NVDA,HD,759
INTC,HD,908
GOOGL,HD,1824
GE,HD,899
AAPL,HD,3348
XOM,HD,357
M,HD,873
QCOM,HD,249
JPM,HD,1335
PCLN,HD,300
MSFT,HD,1799
VZ,HD,333
JNJ,HD,1418
WMT,HD,3018
WFC,HD,261
BMY,HD,75
DIS,HD,1212
TSLA,HD,1276
TGT,HD,1946
SNAP,HD,414
GM,HD,407
NFLX,HD,1037
GILD,HD,301
MRK,HD,902
T,HD,423
CSCO,HD,1434
MS,HD,450
PFE,HD,212
PEP,HD,641
MU,HD,210
AMD,HD,297
BAC,HD,1007
MCD,HD,1001
BA,HD,1475
GS,HD,1006
CMG,HD,226
F,HD,213
